,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,dry eyes,dry mouth,thc_scaled,strain_type,rating (scaled),Rating,NumReviews,Strain_description,THC,sweet_S,strawberry_S,earthy_S,blue cheese_S,sage_S,honey_S,rose_S,tree fruit_S,violet_S,coffee_S,pear_S,spicy/herbal_S,tropical_S,pungent_S,tea_S,apricot_S,mint_S,pepper_S,flowery_S,ammonia_S,blueberry_S,berry_S,chemical_S,pine_S,woody_S,lime_S,plum_S,nutty_S,citrus_S,orange_S,mango_S,diesel_S,lemon_S,pineapple_S,apple_S,grape_S,menthol_S,chestnut_S,skunk_S,grapefruit_S,peach_S,butter_S,lavender_S,tar_S,tobacco_S,vanilla_S,focused_S,inflammation_S,dizzy_S,energetic_S,lack of appetite_S,happy_S,creative_S,muscle spasms_S,sleepy_S,stress_S,tingly_S,aroused_S,anxious_S,nausea_S,fatigue_S,cramps_S,uplifted_S,headache_S,talkative_S,paranoid_S,hungry_S,giggle_S,depression_S,relaxed_S,pain_S,seizures_S,euphoric_S,spasticity_S,eye pressure_S,headaches_S,insomnia_S,dry eyes_S,dry mouth_S
0,$100 OG,0,0,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.271578812,,0.557309337,0.658570341,,0.541390221,0.978085871,1,,,0.353582944,,,,0.551632504,,,0.078722537,,,,1,0.700700878,,0.586763899,,,,0.629376588,0.575873483,1,,hybrid,0.745138889,3.980555556,506,"$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",,,,0.000906618,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,0.000246218,,0.000505267,0.000597072,,0.000490834,0.000886751,0.000906618,,,0.000320565,,,,0.00050012,,,7.14E-05,,,,0.000906618,0.000635268,,0.000531971,,,,0.000570604,0.000522097,0.000906618
1,'98 Aloha White Widow,2,0,0.57,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.680412371,,0.711340206,0.907216495,,,,,,1,,1,,,,,,,0.618556701,,1,0.24,,,,,,,,0.385964912,,hybrid,0.916666667,4.666666667,9,"The  98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation.  98 Aloha White Widow is available from Pua Mana 1st Hawaiian  Pakalolo  Seed Bank.",,,,,,,,,,,,,0.000906618,,,,,,,0.000906618,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,0.000616874,,0.000644914,0.000822499,,,,,,0.000906618,,0.000906618,,,,,,,0.000560795,,0.000906618,0.000217588,,,,,,,,0.000349923
2,1024,0,0,0.3,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686098655,0.206185567,0.123444598,0.812866506,,1,,,,,,,0.021726249,,1,,,,,0.123444598,,,0.827167981,0.724042773,0.256215888,,0.803380476,0.172832019,,,,0.290341695,1,0.722222222,sativa,0.855555556,4.422222222,45,"1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",22.5,0.00234192,,,,,,,,,,,0.00234192,0.00234192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001606788,0.00048287,0.000289097,0.001903669,,0.00234192,,,,,,,5.09E-05,,0.00234192,,,,,0.000289097,,,0.001937162,0.001695651,0.000600037,,0.001881453,0.000404759,,,,0.000679957,0.00234192
3,13 Dawgs,0,0,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,0.666666667,0.285714286,,,,,0.285714286,,0.333333333,,1,0.666666667,0.285714286,0.333333333,,,1,,1,0.380952381,,,,,,0.666666667,,0.333333333,1,0.509803922,hybrid,0.75,4,10,"13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.",16,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,0.000604412,0.000259034,,,,,0.000259034,,0.000302206,,0.000906618,0.000604412,0.000259034,0.000302206,,,0.000906618,,0.000906618,0.000345378,,,,,,0.000604412,,0.000302206,0.000906618
4,22,0,0,0.54,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,0.673913043,,0.333333333,,0.666666667,,,,0.333333333,0.666666667,,0.695652174,,,,,,1,,,,0.52173913,,,,,,,,hybrid,0.714285714,3.857142857,7,"22 is a Jack Herer cross from Cali Connection. This extremely pungent fortification of Jack Herer yields fat buds packed with cannabinoids, making them prime starting material for extractors. Its aroma is a mixture of pine and floral notes with touches of spice on the finish. 22 benefits from a slightly longer flowering time, giving way to an abundant and flavorful yield just on the other side of 10 weeks.",,0.000906618,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,0.000906618,,,,,,,,,,,,,,,,,,0.000906618,,,0.000906618,,0.000610982,,0.000302206,,0.000604412,,,,0.000302206,0.000604412,,0.000630691,,,,,,0.000906618,,,,0.000473018,,,,,,
5,24k Gold,0,0,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.409387755,,0.38989899,1,0.66869648,0.392727273,,1,,,0.241632653,,,,0.950142721,0.244897959,,,,,0.808080808,0.922169363,,,0.538915319,,,0.303838384,,0.751428571,1,0.673202614,hybrid,0.895380435,4.581521739,184,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!",21,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,0.000371158,,0.00035349,0.000906618,0.000606252,0.000356054,,0.000906618,,,0.000219069,,,,0.000861417,0.000222029,,,,,0.000732621,0.000836056,,,0.00048859,,,0.000275465,,0.000681259,0.000906618
6,3 Bears OG,1,0,0.93,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.838926174,0.677852349,0.5,0.677852349,1,,,,,,,,0.094339623,,,,,,1,1,,0.644295302,,,,0.5,0.094339623,1,,indica,0.857142857,4.428571429,7,"3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma's OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",,0.001666667,,0.001666667,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001666667,0.00139821,0.001129754,0.000833333,0.001129754,0.001666667,,,,,,,,0.000157233,,,,,,0.001666667,0.001666667,,0.001073826,,,,0.000833333,0.000157233,0.001666667
7,3 Kings,3,0,0.29,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.714630263,0.447902087,0.382663022,,,0.942923711,,,,1,,,0.599433815,0.555183229,,,0.566155809,,,0.603670441,,,0.725733784,1,0.633123219,,0.643855664,,,,,0.236294416,1,,sativa,0.853559871,4.414239482,312,"The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings' potency. Medical patients will appreciate the versatility of this strain's medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",,,,0.00234192,,,,,,,,,,,,,,,,,,,,,0.00234192,0.00234192,,,,,,,,,,,,,,,,,,,,,,0.001673607,0.001048951,0.000896166,,,0.002208252,,,,0.00234192,,,0.001403826,0.001300195,,,0.001325892,,,0.001413748,,,0.001699611,0.00234192,0.001482724,,0.001507859,,,,,0.000553383,0.00234192
8,303 OG,0,0,0.6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.268678161,,0.103225806,,,,0.747126437,,,0.525345622,,,0.051612903,,0.907834101,,0.981321839,,,,,,0.500768049,1,1,,0.827586207,,,0.944700461,,0.15483871,1,0.673202614,hybrid,0.822368421,4.289473684,79,"The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",21,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,0.000243589,,9.36E-05,,,,0.000677359,,,0.000476288,,,4.68E-05,,0.000823059,,0.000889684,,,,,,0.000454005,0.000906618,0.000906618,,0.000750305,,,0.000856483,,0.00014038,0.000906618
9,3D CBD,2,0,0.34,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.276923077,0.6,,,,0.415384615,,0.6,,0.7,,,,,,,1,,0.769230769,,,,,0.507692308,1,,,,,,0.4,0.5,1,,sativa,0.9,4.6,20,"3D CBD from Snoop Dogg's branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.",,,,,,,,,,,,,,,,0.00234192,,,,,,,,,0.00234192,0.00234192,,,,,,,,,,,,,,,,,,,,,,0.000648532,0.001405152,,,,0.000972798,,0.001405152,,0.001639344,,,,,,,0.00234192,,0.001801477,,,,,0.001188975,0.00234192,,,,,,0.000936768,0.00117096,0.00234192
